"x";"y";"t"
40;22;"2014-01-01 05:59:52"
24;14;"2014-01-01 05:59:53"
27;12;"2014-01-01 05:59:55"
22;11;"2014-01-01 05:59:59"
22;43;"2014-01-01 06:00:01"
22;23;"2014-01-01 06:00:01"
22;25;"2014-01-01 06:00:01"
8;48;"2014-01-01 06:00:03"
8;10;"2014-01-01 06:00:03"
8;22;"2014-01-01 06:00:03"
10;23;"2014-01-01 06:00:13"
10;7;"2014-01-01 06:00:13"
10;8;"2014-01-01 06:00:13"
10;16;"2014-01-01 06:00:13"
23;20;"2014-01-01 06:00:24"
23;43;"2014-01-01 06:00:24"
23;11;"2014-01-01 06:00:24"
12;1;"2014-01-01 06:00:27"
12;56;"2014-01-01 06:00:27"
12;15;"2014-01-01 06:00:27"
12;9;"2014-01-01 06:00:27"
12;21;"2014-01-01 06:00:27"
12;13;"2014-01-01 06:00:27"
43;16;"2014-01-01 06:00:38"
43;61;"2014-01-01 06:00:38"
7;10;"2014-01-01 06:00:45"
7;22;"2014-01-01 06:00:45"
7;40;"2014-01-01 06:00:45"
13;5;"2014-01-01 06:00:49"
13;12;"2014-01-01 06:00:49"
13;56;"2014-01-01 06:00:49"
14;3;"2014-01-01 06:00:56"
14;24;"2014-01-01 06:00:56"
14;5;"2014-01-01 06:00:56"
14;8;"2014-01-01 06:00:56"
14;25;"2014-01-01 06:00:56"
3;47;"2014-01-01 06:01:00"
3;1;"2014-01-01 06:01:00"
3;14;"2014-01-01 06:01:00"
3;5;"2014-01-01 06:01:00"
3;21;"2014-01-01 06:01:00"
3;9;"2014-01-01 06:01:04"
3;24;"2014-01-01 06:01:04"
3;8;"2014-01-01 06:01:04"
2;27;"2014-01-01 06:01:06"
2;25;"2014-01-01 06:01:06"
2;56;"2014-01-01 06:01:06"
2;15;"2014-01-01 06:01:06"
3;2;"2014-01-01 06:01:07"
3;12;"2014-01-01 06:01:07"
3;22;"2014-01-01 06:01:07"
3;25;"2014-01-01 06:01:07"
3;13;"2014-01-01 06:01:10"
47;9;"2014-01-01 06:01:13"
3;47;"2014-01-01 06:01:14"
3;9;"2014-01-01 06:01:14"
16;61;"2014-01-01 06:01:16"
16;11;"2014-01-01 06:01:16"
9;47;"2014-01-01 06:01:18"
9;24;"2014-01-01 06:01:18"
9;1;"2014-01-01 06:01:18"
35;40;"2014-01-01 06:01:21"
1;4;"2014-01-01 06:01:27"
1;12;"2014-01-01 06:01:27"
15;25;"2014-01-01 06:01:27"
15;1;"2014-01-01 06:01:27"
15;8;"2014-01-01 06:01:27"
15;56;"2014-01-01 06:01:27"
15;19;"2014-01-01 06:01:27"
19;23;"2014-01-01 06:01:28"
19;5;"2014-01-01 06:01:28"
19;56;"2014-01-01 06:01:28"
19;24;"2014-01-01 06:01:28"
15;47;"2014-01-01 06:01:29"
15;11;"2014-01-01 06:01:29"
15;5;"2014-01-01 06:01:29"
15;14;"2014-01-01 06:01:29"
15;2;"2014-01-01 06:01:29"
19;14;"2014-01-01 06:01:31"
19;15;"2014-01-01 06:01:31"
11;45;"2014-01-01 06:01:34"
11;40;"2014-01-01 06:01:34"
11;16;"2014-01-01 06:01:34"
56;11;"2014-01-01 06:01:34"
56;3;"2014-01-01 06:01:34"
56;2;"2014-01-01 06:01:34"
56;5;"2014-01-01 06:01:34"
25;2;"2014-01-01 06:01:35"
25;23;"2014-01-01 06:01:35"
25;22;"2014-01-01 06:01:35"
61;17;"2014-01-01 06:01:37"
61;19;"2014-01-01 06:01:37"
40;23;"2014-01-01 06:01:41"
40;10;"2014-01-01 06:01:41"
45;2;"2014-01-01 06:01:42"
5;2;"2014-01-01 06:01:43"
5;21;"2014-01-01 06:01:43"
5;24;"2014-01-01 06:01:43"
5;25;"2014-01-01 06:01:43"
5;11;"2014-01-01 06:01:43"
5;15;"2014-01-01 06:01:43"
27;47;"2014-01-01 06:01:45"
27;8;"2014-01-01 06:01:45"
5;16;"2014-01-01 06:01:47"
5;47;"2014-01-01 06:01:47"
5;13;"2014-01-01 06:01:47"
5;22;"2014-01-01 06:01:47"
5;12;"2014-01-01 06:01:47"
5;14;"2014-01-01 06:01:47"
20;23;"2014-01-01 06:01:51"
24;9;"2014-01-01 06:01:52"
22;35;"2014-01-01 06:01:53"
22;45;"2014-01-01 06:01:53"
8;12;"2014-01-01 06:01:53"
8;14;"2014-01-01 06:01:53"
8;15;"2014-01-01 06:01:53"
8;9;"2014-01-01 06:01:53"
8;2;"2014-01-01 06:01:53"
8;1;"2014-01-01 06:01:53"
22;17;"2014-01-01 06:01:57"
22;40;"2014-01-01 06:01:57"
22;19;"2014-01-01 06:01:57"
22;16;"2014-01-01 06:01:57"
22;7;"2014-01-01 06:01:57"
22;18;"2014-01-01 06:02:00"
22;10;"2014-01-01 06:02:00"
22;61;"2014-01-01 06:02:00"
48;22;"2014-01-01 06:02:03"
10;25;"2014-01-01 06:02:07"
10;22;"2014-01-01 06:02:07"
23;40;"2014-01-01 06:02:14"
12;3;"2014-01-01 06:02:16"
12;25;"2014-01-01 06:02:16"
12;8;"2014-01-01 06:02:16"
12;14;"2014-01-01 06:02:17"
12;61;"2014-01-01 06:02:17"
12;27;"2014-01-01 06:02:17"
12;2;"2014-01-01 06:02:17"
12;11;"2014-01-01 06:02:17"
43;19;"2014-01-01 06:02:28"
43;7;"2014-01-01 06:02:28"
13;25;"2014-01-01 06:02:39"
13;8;"2014-01-01 06:02:39"
13;22;"2014-01-01 06:02:39"
13;19;"2014-01-01 06:02:39"
13;47;"2014-01-01 06:02:39"
14;10;"2014-01-01 06:02:46"
14;61;"2014-01-01 06:02:46"
14;11;"2014-01-01 06:02:46"
14;22;"2014-01-01 06:02:46"
7;43;"2014-01-01 06:02:46"
2;24;"2014-01-01 06:03:00"
2;47;"2014-01-01 06:03:00"
2;9;"2014-01-01 06:03:00"
47;5;"2014-01-01 06:03:05"
47;1;"2014-01-01 06:03:05"
9;19;"2014-01-01 06:03:10"
9;12;"2014-01-01 06:03:10"
9;5;"2014-01-01 06:03:10"
3;23;"2014-01-01 06:03:11"
3;56;"2014-01-01 06:03:11"
3;22;"2014-01-01 06:03:11"
3;20;"2014-01-01 06:03:11"
3;27;"2014-01-01 06:03:11"
3;21;"2014-01-01 06:03:11"
3;5;"2014-01-01 06:03:15"
1;6;"2014-01-01 06:03:16"
1;7;"2014-01-01 06:03:16"
1;22;"2014-01-01 06:03:16"
19;10;"2014-01-01 06:03:26"
19;12;"2014-01-01 06:03:26"
19;9;"2014-01-01 06:03:26"
19;3;"2014-01-01 06:03:26"
16;21;"2014-01-01 06:03:28"
16;23;"2014-01-01 06:03:28"
16;20;"2014-01-01 06:03:28"
16;13;"2014-01-01 06:03:28"
16;9;"2014-01-01 06:03:28"
11;13;"2014-01-01 06:03:28"
11;61;"2014-01-01 06:03:28"
11;8;"2014-01-01 06:03:28"
11;9;"2014-01-01 06:03:28"
19;56;"2014-01-01 06:03:29"
19;25;"2014-01-01 06:03:29"
19;2;"2014-01-01 06:03:29"
19;27;"2014-01-01 06:03:29"
19;8;"2014-01-01 06:03:29"
19;5;"2014-01-01 06:03:29"
25;14;"2014-01-01 06:03:30"
25;1;"2014-01-01 06:03:30"
25;21;"2014-01-01 06:03:30"
25;8;"2014-01-01 06:03:30"
25;15;"2014-01-01 06:03:30"
19;15;"2014-01-01 06:03:31"
19;16;"2014-01-01 06:03:31"
19;23;"2014-01-01 06:03:31"
19;47;"2014-01-01 06:03:31"
56;23;"2014-01-01 06:03:31"
56;25;"2014-01-01 06:03:31"
56;47;"2014-01-01 06:03:31"
56;15;"2014-01-01 06:03:31"
56;22;"2014-01-01 06:03:31"
25;16;"2014-01-01 06:03:33"
25;12;"2014-01-01 06:03:33"
25;9;"2014-01-01 06:03:33"
25;27;"2014-01-01 06:03:33"
16;19;"2014-01-01 06:03:33"
16;25;"2014-01-01 06:03:33"
16;14;"2014-01-01 06:03:33"
16;8;"2014-01-01 06:03:33"
15;24;"2014-01-01 06:03:34"
15;21;"2014-01-01 06:03:34"
15;3;"2014-01-01 06:03:34"
19;11;"2014-01-01 06:03:34"
56;10;"2014-01-01 06:03:34"
56;13;"2014-01-01 06:03:34"
19;12;"2014-01-01 06:03:36"
19;1;"2014-01-01 06:03:36"
16;22;"2014-01-01 06:03:37"
16;3;"2014-01-01 06:03:37"
16;27;"2014-01-01 06:03:37"
15;23;"2014-01-01 06:03:37"
15;1;"2014-01-01 06:03:37"
15;27;"2014-01-01 06:03:37"
15;10;"2014-01-01 06:03:37"
61;15;"2014-01-01 06:03:38"
61;13;"2014-01-01 06:03:38"
61;23;"2014-01-01 06:03:38"
61;9;"2014-01-01 06:03:38"
15;8;"2014-01-01 06:03:40"
15;20;"2014-01-01 06:03:40"
15;25;"2014-01-01 06:03:40"
5;61;"2014-01-01 06:03:42"
5;9;"2014-01-01 06:03:42"
5;10;"2014-01-01 06:03:42"
24;5;"2014-01-01 06:03:45"
24;11;"2014-01-01 06:03:45"
24;27;"2014-01-01 06:03:45"
24;19;"2014-01-01 06:03:45"
24;2;"2014-01-01 06:03:45"
5;23;"2014-01-01 06:03:45"
5;27;"2014-01-01 06:03:45"
5;13;"2014-01-01 06:03:48"
5;16;"2014-01-01 06:03:48"
8;27;"2014-01-01 06:03:48"
8;56;"2014-01-01 06:03:48"
8;3;"2014-01-01 06:03:48"
8;47;"2014-01-01 06:03:48"
8;21;"2014-01-01 06:03:48"
8;24;"2014-01-01 06:03:48"
27;3;"2014-01-01 06:03:49"
27;23;"2014-01-01 06:03:49"
27;22;"2014-01-01 06:03:49"
27;11;"2014-01-01 06:03:49"
5;3;"2014-01-01 06:03:49"
5;25;"2014-01-01 06:03:49"
5;19;"2014-01-01 06:03:49"
22;27;"2014-01-01 06:03:50"
22;12;"2014-01-01 06:03:50"
22;15;"2014-01-01 06:03:50"
22;14;"2014-01-01 06:03:50"
22;47;"2014-01-01 06:03:50"
24;3;"2014-01-01 06:03:51"
24;56;"2014-01-01 06:03:51"
5;8;"2014-01-01 06:03:51"
5;11;"2014-01-01 06:03:51"
5;2;"2014-01-01 06:03:51"
5;23;"2014-01-01 06:03:51"
5;21;"2014-01-01 06:03:51"
8;11;"2014-01-01 06:03:52"
8;15;"2014-01-01 06:03:52"
22;5;"2014-01-01 06:03:54"
22;9;"2014-01-01 06:03:54"
22;21;"2014-01-01 06:03:54"
22;19;"2014-01-01 06:03:54"
22;11;"2014-01-01 06:03:54"
23;2;"2014-01-01 06:04:09"
23;24;"2014-01-01 06:04:09"
23;14;"2014-01-01 06:04:09"
23;3;"2014-01-01 06:04:09"
23;5;"2014-01-01 06:04:09"
23;56;"2014-01-01 06:04:09"
10;17;"2014-01-01 06:04:10"
23;27;"2014-01-01 06:04:11"
23;25;"2014-01-01 06:04:11"
23;13;"2014-01-01 06:04:11"
12;10;"2014-01-01 06:04:12"
12;47;"2014-01-01 06:04:12"
12;20;"2014-01-01 06:04:12"
12;5;"2014-01-01 06:04:12"
12;9;"2014-01-01 06:04:14"
12;1;"2014-01-01 06:04:14"
12;13;"2014-01-01 06:04:14"
12;3;"2014-01-01 06:04:14"
12;21;"2014-01-01 06:04:16"
12;14;"2014-01-01 06:04:16"
12;8;"2014-01-01 06:04:16"
12;25;"2014-01-01 06:04:16"
12;27;"2014-01-01 06:04:17"
12;47;"2014-01-01 06:04:17"
12;15;"2014-01-01 06:04:17"
12;10;"2014-01-01 06:04:17"
12;22;"2014-01-01 06:04:17"
10;45;"2014-01-01 06:04:17"
10;48;"2014-01-01 06:04:17"
12;19;"2014-01-01 06:04:19"
12;20;"2014-01-01 06:04:19"
12;2;"2014-01-01 06:04:19"
12;56;"2014-01-01 06:04:19"
12;5;"2014-01-01 06:04:19"
4;22;"2014-01-01 06:04:29"
43;40;"2014-01-01 06:04:32"
13;27;"2014-01-01 06:04:34"
13;2;"2014-01-01 06:04:34"
13;23;"2014-01-01 06:04:34"
13;11;"2014-01-01 06:04:39"
13;16;"2014-01-01 06:04:39"
14;21;"2014-01-01 06:04:50"
14;23;"2014-01-01 06:04:50"
14;16;"2014-01-01 06:04:50"
14;35;"2014-01-01 06:04:50"
14;27;"2014-01-01 06:04:50"
7;45;"2014-01-01 06:04:54"
7;35;"2014-01-01 06:04:54"
47;16;"2014-01-01 06:04:55"
47;3;"2014-01-01 06:04:55"
47;25;"2014-01-01 06:04:55"
47;8;"2014-01-01 06:04:55"
2;13;"2014-01-01 06:04:56"
2;3;"2014-01-01 06:04:56"
2;16;"2014-01-01 06:04:56"
2;10;"2014-01-01 06:04:56"
2;11;"2014-01-01 06:04:59"
2;21;"2014-01-01 06:04:59"
2;19;"2014-01-01 06:04:59"
2;20;"2014-01-01 06:04:59"
2;5;"2014-01-01 06:04:59"
9;56;"2014-01-01 06:05:00"
9;13;"2014-01-01 06:05:00"
9;3;"2014-01-01 06:05:00"
9;61;"2014-01-01 06:05:00"
9;16;"2014-01-01 06:05:00"
9;21;"2014-01-01 06:05:02"
9;2;"2014-01-01 06:05:02"
9;23;"2014-01-01 06:05:02"
9;8;"2014-01-01 06:05:02"
3;7;"2014-01-01 06:05:07"
3;14;"2014-01-01 06:05:07"
3;15;"2014-01-01 06:05:07"
1;9;"2014-01-01 06:05:13"
1;10;"2014-01-01 06:05:13"
1;11;"2014-01-01 06:05:13"
11;14;"2014-01-01 06:05:20"
11;12;"2014-01-01 06:05:20"
19;20;"2014-01-01 06:05:33"
19;15;"2014-01-01 06:05:33"
16;10;"2014-01-01 06:05:34"
16;61;"2014-01-01 06:05:34"
16;25;"2014-01-01 06:05:36"
16;20;"2014-01-01 06:05:36"
16;2;"2014-01-01 06:05:36"
16;11;"2014-01-01 06:05:36"
16;15;"2014-01-01 06:05:36"
16;19;"2014-01-01 06:05:36"
19;10;"2014-01-01 06:05:36"
19;6;"2014-01-01 06:05:36"
15;7;"2014-01-01 06:05:37"
15;22;"2014-01-01 06:05:37"
25;19;"2014-01-01 06:05:38"
25;56;"2014-01-01 06:05:38"
25;2;"2014-01-01 06:05:38"
61;14;"2014-01-01 06:05:39"
15;11;"2014-01-01 06:05:40"
15;1;"2014-01-01 06:05:40"
15;5;"2014-01-01 06:05:40"
25;23;"2014-01-01 06:05:41"
25;47;"2014-01-01 06:05:41"
20;9;"2014-01-01 06:05:41"
20;2;"2014-01-01 06:05:41"
20;12;"2014-01-01 06:05:41"
20;10;"2014-01-01 06:05:41"
20;16;"2014-01-01 06:05:41"
20;22;"2014-01-01 06:05:41"
20;8;"2014-01-01 06:05:41"
25;14;"2014-01-01 06:05:43"
25;12;"2014-01-01 06:05:43"
25;10;"2014-01-01 06:05:43"
25;9;"2014-01-01 06:05:43"
27;7;"2014-01-01 06:05:43"
27;56;"2014-01-01 06:05:43"
27;1;"2014-01-01 06:05:43"
27;16;"2014-01-01 06:05:43"
27;20;"2014-01-01 06:05:43"
40;17;"2014-01-01 06:05:43"
18;27;"2014-01-01 06:05:44"
18;35;"2014-01-01 06:05:44"
18;11;"2014-01-01 06:05:44"
18;20;"2014-01-01 06:05:44"
18;23;"2014-01-01 06:05:44"
18;13;"2014-01-01 06:05:44"
8;61;"2014-01-01 06:05:44"
8;20;"2014-01-01 06:05:44"
27;25;"2014-01-01 06:05:45"
27;15;"2014-01-01 06:05:45"
27;5;"2014-01-01 06:05:45"
27;14;"2014-01-01 06:05:45"
20;61;"2014-01-01 06:05:45"
20;19;"2014-01-01 06:05:45"
20;15;"2014-01-01 06:05:45"
61;11;"2014-01-01 06:05:46"
61;12;"2014-01-01 06:05:46"
61;5;"2014-01-01 06:05:46"
61;20;"2014-01-01 06:05:46"
61;25;"2014-01-01 06:05:46"
8;5;"2014-01-01 06:05:47"
8;9;"2014-01-01 06:05:47"
8;3;"2014-01-01 06:05:47"
5;7;"2014-01-01 06:05:48"
5;18;"2014-01-01 06:05:48"
5;20;"2014-01-01 06:05:48"
5;56;"2014-01-01 06:05:48"
8;10;"2014-01-01 06:05:48"
8;23;"2014-01-01 06:05:48"
8;2;"2014-01-01 06:05:48"
8;27;"2014-01-01 06:05:48"
8;11;"2014-01-01 06:05:48"
8;15;"2014-01-01 06:05:48"
18;3;"2014-01-01 06:05:49"
18;25;"2014-01-01 06:05:49"
18;1;"2014-01-01 06:05:49"
18;14;"2014-01-01 06:05:49"
18;12;"2014-01-01 06:05:49"
22;3;"2014-01-01 06:05:49"
22;20;"2014-01-01 06:05:49"
5;22;"2014-01-01 06:05:49"
5;14;"2014-01-01 06:05:49"
5;12;"2014-01-01 06:05:49"
5;15;"2014-01-01 06:05:49"
5;9;"2014-01-01 06:05:49"
61;27;"2014-01-01 06:05:50"
61;22;"2014-01-01 06:05:50"
61;16;"2014-01-01 06:05:50"
61;8;"2014-01-01 06:05:50"
40;43;"2014-01-01 06:05:50"
40;48;"2014-01-01 06:05:50"
18;7;"2014-01-01 06:05:52"
18;9;"2014-01-01 06:05:52"
18;8;"2014-01-01 06:05:52"
45;40;"2014-01-01 06:05:54"
18;5;"2014-01-01 06:05:56"
18;10;"2014-01-01 06:05:56"
24;8;"2014-01-01 06:05:57"
24;1;"2014-01-01 06:05:57"
24;25;"2014-01-01 06:05:57"
18;2;"2014-01-01 06:05:59"
18;22;"2014-01-01 06:05:59"
18;56;"2014-01-01 06:05:59"
48;40;"2014-01-01 06:06:09"
12;3;"2014-01-01 06:06:16"
12;23;"2014-01-01 06:06:16"
12;1;"2014-01-01 06:06:16"
23;47;"2014-01-01 06:06:16"
23;15;"2014-01-01 06:06:16"
23;7;"2014-01-01 06:06:16"
23;22;"2014-01-01 06:06:16"
12;15;"2014-01-01 06:06:18"
12;14;"2014-01-01 06:06:18"
12;27;"2014-01-01 06:06:18"
12;16;"2014-01-01 06:06:18"
6;8;"2014-01-01 06:06:19"
6;20;"2014-01-01 06:06:19"
6;19;"2014-01-01 06:06:19"
6;11;"2014-01-01 06:06:19"
6;12;"2014-01-01 06:06:19"
6;16;"2014-01-01 06:06:19"
6;25;"2014-01-01 06:06:19"
10;14;"2014-01-01 06:06:21"
10;9;"2014-01-01 06:06:21"
10;13;"2014-01-01 06:06:21"
10;15;"2014-01-01 06:06:21"
10;22;"2014-01-01 06:06:21"
10;12;"2014-01-01 06:06:21"
10;20;"2014-01-01 06:06:23"
10;5;"2014-01-01 06:06:23"
10;23;"2014-01-01 06:06:23"
10;2;"2014-01-01 06:06:23"
6;24;"2014-01-01 06:06:23"
6;9;"2014-01-01 06:06:23"
6;23;"2014-01-01 06:06:23"
6;3;"2014-01-01 06:06:23"
6;5;"2014-01-01 06:06:26"
6;35;"2014-01-01 06:06:26"
43;35;"2014-01-01 06:06:26"
4;6;"2014-01-01 06:06:28"
4;1;"2014-01-01 06:06:28"
4;21;"2014-01-01 06:06:28"
4;20;"2014-01-01 06:06:28"
4;11;"2014-01-01 06:06:28"
4;9;"2014-01-01 06:06:28"
4;8;"2014-01-01 06:06:28"
4;47;"2014-01-01 06:06:31"
4;10;"2014-01-01 06:06:31"
4;13;"2014-01-01 06:06:31"
4;15;"2014-01-01 06:06:31"
13;7;"2014-01-01 06:06:44"
13;9;"2014-01-01 06:06:44"
13;10;"2014-01-01 06:06:44"
13;25;"2014-01-01 06:06:44"
14;17;"2014-01-01 06:06:44"
14;15;"2014-01-01 06:06:44"
14;56;"2014-01-01 06:06:44"
14;3;"2014-01-01 06:06:44"
2;22;"2014-01-01 06:06:48"
2;56;"2014-01-01 06:06:48"
2;4;"2014-01-01 06:06:48"
2;47;"2014-01-01 06:06:48"
2;24;"2014-01-01 06:06:48"
14;1;"2014-01-01 06:06:50"
14;12;"2014-01-01 06:06:50"
14;9;"2014-01-01 06:06:50"
7;25;"2014-01-01 06:06:52"
7;8;"2014-01-01 06:06:52"
7;2;"2014-01-01 06:06:52"
7;12;"2014-01-01 06:06:52"
7;9;"2014-01-01 06:06:52"
7;5;"2014-01-01 06:06:52"
9;12;"2014-01-01 06:06:56"
9;14;"2014-01-01 06:06:56"
9;47;"2014-01-01 06:06:56"
9;15;"2014-01-01 06:06:56"
9;61;"2014-01-01 06:06:58"
9;22;"2014-01-01 06:06:58"
9;56;"2014-01-01 06:06:58"
9;3;"2014-01-01 06:06:58"
9;13;"2014-01-01 06:06:58"
9;20;"2014-01-01 06:06:58"
47;19;"2014-01-01 06:06:59"
47;10;"2014-01-01 06:06:59"
47;2;"2014-01-01 06:06:59"
3;25;"2014-01-01 06:07:01"
3;17;"2014-01-01 06:07:01"
3;23;"2014-01-01 06:07:01"
1;13;"2014-01-01 06:07:04"
1;14;"2014-01-01 06:07:04"
1;17;"2014-01-01 06:07:04"
1;15;"2014-01-01 06:07:09"
1;16;"2014-01-01 06:07:09"
11;23;"2014-01-01 06:07:10"
11;15;"2014-01-01 06:07:10"
11;21;"2014-01-01 06:07:10"
11;5;"2014-01-01 06:07:10"
11;25;"2014-01-01 06:07:10"
11;16;"2014-01-01 06:07:11"
11;13;"2014-01-01 06:07:11"
11;10;"2014-01-01 06:07:11"
11;61;"2014-01-01 06:07:11"
35;22;"2014-01-01 06:07:13"
35;12;"2014-01-01 06:07:13"
56;14;"2014-01-01 06:07:24"
56;23;"2014-01-01 06:07:24"
56;8;"2014-01-01 06:07:24"
56;4;"2014-01-01 06:07:24"
56;3;"2014-01-01 06:07:24"
16;5;"2014-01-01 06:07:28"
16;47;"2014-01-01 06:07:28"
19;4;"2014-01-01 06:07:28"
19;17;"2014-01-01 06:07:28"
19;25;"2014-01-01 06:07:28"
15;16;"2014-01-01 06:07:32"
15;24;"2014-01-01 06:07:32"
15;3;"2014-01-01 06:07:32"
15;61;"2014-01-01 06:07:32"
15;21;"2014-01-01 06:07:32"
20;27;"2014-01-01 06:07:34"
20;5;"2014-01-01 06:07:34"
8;6;"2014-01-01 06:07:38"
8;25;"2014-01-01 06:07:38"
8;21;"2014-01-01 06:07:39"
8;7;"2014-01-01 06:07:39"
8;56;"2014-01-01 06:07:39"
25;35;"2014-01-01 06:07:40"
25;13;"2014-01-01 06:07:40"
25;16;"2014-01-01 06:07:40"
25;22;"2014-01-01 06:07:40"
22;7;"2014-01-01 06:07:41"
22;13;"2014-01-01 06:07:41"
22;23;"2014-01-01 06:07:41"
22;25;"2014-01-01 06:07:41"
5;21;"2014-01-01 06:07:41"
5;8;"2014-01-01 06:07:41"
5;11;"2014-01-01 06:07:41"
25;7;"2014-01-01 06:07:42"
25;20;"2014-01-01 06:07:42"
25;3;"2014-01-01 06:07:42"
25;27;"2014-01-01 06:07:42"
61;56;"2014-01-01 06:07:42"
61;10;"2014-01-01 06:07:42"
27;11;"2014-01-01 06:07:46"
27;19;"2014-01-01 06:07:46"
24;23;"2014-01-01 06:07:51"
24;22;"2014-01-01 06:07:51"
24;5;"2014-01-01 06:07:51"
24;10;"2014-01-01 06:07:51"
23;6;"2014-01-01 06:08:08"
23;19;"2014-01-01 06:08:08"
23;61;"2014-01-01 06:08:09"
23;10;"2014-01-01 06:08:09"
23;16;"2014-01-01 06:08:09"
23;9;"2014-01-01 06:08:09"
12;20;"2014-01-01 06:08:10"
12;7;"2014-01-01 06:08:10"
23;25;"2014-01-01 06:08:11"
23;15;"2014-01-01 06:08:11"
23;7;"2014-01-01 06:08:11"
23;2;"2014-01-01 06:08:11"
10;56;"2014-01-01 06:08:12"
10;18;"2014-01-01 06:08:12"
10;3;"2014-01-01 06:08:12"
6;1;"2014-01-01 06:08:18"
6;22;"2014-01-01 06:08:18"
6;15;"2014-01-01 06:08:18"
6;47;"2014-01-01 06:08:18"
6;7;"2014-01-01 06:08:18"
4;19;"2014-01-01 06:08:33"
4;2;"2014-01-01 06:08:33"
4;25;"2014-01-01 06:08:33"
13;14;"2014-01-01 06:08:36"
13;4;"2014-01-01 06:08:36"
13;8;"2014-01-01 06:08:36"
13;3;"2014-01-01 06:08:36"
13;17;"2014-01-01 06:08:36"
13;6;"2014-01-01 06:08:38"
13;21;"2014-01-01 06:08:38"
13;23;"2014-01-01 06:08:40"
13;15;"2014-01-01 06:08:40"
13;27;"2014-01-01 06:08:40"
13;22;"2014-01-01 06:08:40"
7;3;"2014-01-01 06:08:43"
